time,direction, number,timeout,interval
2,Ueberschrift1,,true,
5,Setting,,true,
5,Wort,,true,
5,onstage,2,true,
0,Auftritt,,true,
5,Handlung,,true,
300,Relation singular,,true,
2,Phrase,,true,
30,onstage,1,true
0,Auftritt,,true,
2,Stimmungswechsel,,true,
5,Phrase,,true,
0,Konflikt,,true,
120,Ding singular,,true,
10,Stimme singular,,true,
120,Wort,,true,
2,Stimme singular,,true,
100,Phrase,,true,
100,Phrase,,true,
400,Phrase,,true,
2,offstage,3,true,
0,Abgang,,true,
