Zeit,Direction,timeout,interval
30s,Eine-Idee,true,
30s,onstage,true,
30s,onstage,true,
31s,Personen,true,
32s,Rollenprofil,true,
32s,Rollenprofil,true,
35s,place,true,
36s,date,true,
37s,weather,true,
38s,Haupt-Fortbewegungsmittel,true,
39s,aim,true,
40s,Lied,true,
50s,Beziehung,true,
51s,Oder-anders,true,
55s,Ueberschrift1,true,
1m,Phrase,,true
3m,onstage,true,
3m,Rollenprofil,true,
9m,offstage,true,
9m,offstage,true,
10m,cleanStage,,true
